student_id,gender,ethnicity,city,district,program_start,program_status,programEnd,grad_date,feeder_id
20710,F,East Indian,DANGRIGA,STANN CREEK,8/1/2018,Dropped,,,25
20725,M,Creole,PUNTA GORDA TOWN,TOLEDO,8/1/2018,Dropped,,,18
20742,F,Other,DANGRIGA TOWN,STANN CREEK,8/13/2018,Graduated,12/9/2021,12/9/2021,25
20782,F,Mestizo,BELMOPAN,Cayo,8/1/2018,Dropped,,,30
20809,M,Mayan,,STANN CREEK,8/1/2018,Dropped,,,59
20821,M,Mestizo,Belmopan City,Cayo,8/1/2018,Dropped,,,65
20831,F,Mestizo,,Cayo,8/1/2018,Terminated,,,77
20849,M,Mayan,Belmopan City,Cayo,8/1/2018,Terminated,,,30
20858,F,Mayan,Belmopan City,Cayo,8/13/2018,Graduated,6/19/2020,6/19/2020,35
20888,M,Mestizo,,Cayo,8/1/2018,Terminated,,,35
20912,F,Mestizo,Belmopan City,Cayo,8/1/2020,In Process,,,30
20934,M,Creole,Belize City,BELIZE,8/1/2018,Terminated,,,20
20936,M,Mestizo,BELMOPAN,Cayo,8/1/2018,In Process,,,30
20969,M,Mestizo,DANGRIGA TOWN,STANN CREEK,8/13/2018,Graduated,7/23/2021,7/23/2021,25
21005,M,Creole,Belize City,BELIZE,8/1/2019,Dropped,,,10
21023,M,Mestizo,PUNTA GORDA TOWN,TOLEDO,8/1/2018,Terminated,,,45
21029,M,Mestizo,BELMOPAN,Cayo,8/1/2018,Terminated,,,30
21039,M,Creole,BELMOPAN,Cayo,8/1/2018,Dropped,,,30
21049,F,Mestizo,BELMOPAN,Cayo,8/13/2018,Graduated,6/19/2020,6/19/2020,27
21080,M,Mayan,BELMOPAN,Cayo,8/13/2018,Graduated,5/20/2021,5/20/2021,30
21112,M,Mayan,PUNTA GORDA TOWN,TOLEDO,8/13/2018,Graduated,12/9/2020,12/9/2020,45
21144,M,Other,PUNTA GORDA TOWN,TOLEDO,8/1/2018,Dropped,,,45
21171,M,Mayan,BELMOPAN,Cayo,8/1/2018,Terminated,,,30
21185,F,Mestizo,SAN IGNACIO TOWN,Cayo,8/13/2018,Graduated,6/19/2020,6/19/2020,27
21212,F,Creole,,STANN CREEK,8/1/2018,Terminated,,,25
21217,F,Mestizo,Belize City,BELIZE,8/1/2018,Terminated,,,63
21226,M,Mestizo,,Cayo,8/13/2018,Graduated,5/20/2021,5/20/2021,30
21262,M,Mestizo,SAN IGNACIO TOWN,Cayo,8/1/2018,Terminated,,,30
21274,F,East Indian,,BELIZE,8/1/2018,Dropped,,,17
21289,M,Creole,,Cayo,8/1/2018,Terminated,,,21
21291,M,Other,Belize City,BELIZE,8/13/2018,Graduated,5/20/2021,5/20/2021,20
21323,M,Creole,Belize City,BELIZE,8/13/2018,Graduated,5/20/2021,5/20/2021,20
21358,F,Creole,Belize City,BELIZE,1/18/2021,In Process,8/29/2022,8/29/2022,22
21370,M,Creole,,STANN CREEK,8/1/2021,Dropped,,,6
21387,M,Creole,Belize City,BELIZE,8/1/2018,In Process,,,20
21420,F,Creole,Belize City,BELIZE,8/1/2022,In Process,,,37
21425,F,Creole,Belize City,BELIZE,8/1/2018,Terminated,,,22
21431,M,Creole,Belize City,BELIZE,1/1/2019,Terminated,,,10
21435,M,Creole,Belize City,BELIZE,8/1/2018,Dropped,,,20
21456,M,Garifuna,,STANN CREEK,8/1/2018,Terminated,,,25
21464,M,Creole,,Cayo,8/13/2018,Graduated,5/20/2022,5/20/2022,30
21500,M,Creole,,STANN CREEK,8/1/2018,Terminated,,,36
21509,M,Mestizo,BELMOPAN,Cayo,8/13/2018,Graduated,12/9/2021,12/9/2021,51
21539,M,Mestizo,BELMOPAN,Cayo,8/13/2018,Graduated,5/18/2020,5/18/2020,51
21570,M,Mestizo,BELMOPAN,Cayo,8/1/2018,In Process,,,30
21597,M,Mestizo,BELMOPAN,Cayo,8/1/2018,Terminated,,,66
21618,M,Mestizo,Belize City,BELIZE,8/15/2022,In Process,,,66
21629,M,Mestizo,,Cayo,8/1/2018,Terminated,,,35
21635,M,Garifuna,DANGRIGA TOWN,STANN CREEK,8/1/2018,In Process,,,25
21673,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,8/1/2018,Terminated,,,27
21681,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,8/13/2018,Graduated,5/20/2021,5/20/2021,27
21712,M,Creole,BELMOPAN,Cayo,8/13/2018,Graduated,12/9/2021,12/9/2021,30
21741,M,Mestizo,,STANN CREEK,8/13/2018,Graduated,5/20/2022,5/20/2022,25
21779,M,Creole,Belize City,BELIZE,8/1/2018,Terminated,,,20
21780,F,Garifuna,Belize City,BELIZE,8/1/2018,Terminated,,,20
21792,M,Mestizo,SPANISH LOOKOUT,Cayo,8/1/2018,Dropped,,,21
21797,M,East Indian,PUNTA GORDA TOWN,TOLEDO,8/1/2021,In Process,,,10
21811,M,Garifuna,DANGRIGA TOWN,STANN CREEK,8/13/2018,Graduated,7/22/2022,7/22/2022,25
21852,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/1/2018,In Process,,,16
21888,F,Mestizo,,ORANGE WALK,8/13/2018,Graduated,5/20/2021,5/20/2021,26
21918,M,Creole,,BELIZE,8/1/2018,Dropped,,,20
21924,M,Mestizo,,ORANGE WALK,1/14/2019,Dropped,,,28
21935,M,Mestizo,Santa Elena Town,Cayo,8/1/2018,Terminated,,,21
21947,M,Creole,DANGRIGA TOWN,STANN CREEK,8/1/2019,Terminated,,,25
21954,F,Mestizo,BELMOPAN,Cayo,8/1/2019,Terminated,,,54
21960,M,Creole,,Cayo,8/1/2018,Terminated,,,30
21961,M,Mestizo,,Cayo,8/1/2019,Dropped,,,21
21973,M,Mestizo,,STANN CREEK,8/1/2019,Dropped,,,36
21998,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,8/19/2019,Graduated,5/20/2021,5/20/2021,32
22025,F,Creole,ORANGE WALK TOWN,ORANGE WALK,8/1/2019,Dropped,,,47
22039,M,Mestizo,BELMOPAN,Cayo,8/19/2019,Graduated,5/20/2022,5/20/2022,30
22065,M,Unknown,,Cayo,8/1/2019,In Process,,,32
22096,F,Mestizo,,Cayo,8/1/2019,Terminated,,,21
22106,M,Garifuna,BELMOPAN,Cayo,8/1/2019,Dropped,,,66
22113,M,Creole,Santa Elena Town,Cayo,8/19/2019,In Process,,,27
22143,M,Ketchi,,TOLEDO,8/1/2019,Dropped,,,45
22148,M,Creole,Santa Elena Town,Cayo,8/1/2019,Terminated,,,27
22149,M,Mestizo,,Cayo,8/15/2022,In Process,,,13
22157,F,Mestizo,,Cayo,8/19/2019,Graduated,5/20/2022,5/20/2022,27
22187,F,Creole,BELMOPAN,Cayo,8/1/2019,In Process,,,27
22205,F,Mestizo,PUNTA GORDA TOWN,TOLEDO,8/1/2021,In Process,,,45
22214,F,Garifuna,PUNTA GORDA TOWN,TOLEDO,8/1/2019,Terminated,,,45
22221,M,Creole,,STANN CREEK,8/1/2019,Terminated,,,25
22235,M,Mayan,Belmopan City,Cayo,8/1/2019,Terminated,,,30
22240,F,Creole,Belize City,BELIZE,8/1/2019,Terminated,,,56
22248,M,Mestizo,,COROZAL,8/19/2019,Graduated,5/20/2021,5/20/2021,52
22277,M,Creole,BELMOPAN,Cayo,8/1/2019,Terminated,,,49
22279,M,Mestizo,,BELIZE,1/1/2022,In Process,,,20
22282,M,Mayan,,TOLEDO,8/1/2019,Terminated,,,18
22297,M,East Indian,PUNTA GORDA TOWN,TOLEDO,8/1/2019,In Process,,,45
22326,M,Mestizo,DANGRIGA TOWN,STANN CREEK,8/1/2019,Terminated,,,25
22337,F,Other,PUNTA GORDA TOWN,TOLEDO,8/19/2019,Graduated,7/23/2021,7/23/2021,45
22368,M,Mayan,PUNTA GORDA TOWN,TOLEDO,8/1/2019,Dropped,,,18
22377,M,Ketchi,,TOLEDO,8/19/2019,Graduated,5/20/2022,5/20/2022,18
22411,F,Mayan,,TOLEDO,8/1/2019,Dropped,,,62
22417,M,Mestizo,BELMOPAN,Cayo,8/1/2019,In Process,,,72
22443,M,Mestizo,BELMOPAN,Cayo,8/1/2019,Dropped,,,66
22449,M,Creole,BELMOPAN,Cayo,8/1/2019,In Process,,,54
22479,M,Mestizo,BELMOPAN,Cayo,8/1/2019,In Process,,,66
22509,M,Mayan,,Cayo,8/19/2019,Graduated,5/20/2022,5/20/2022,27
22539,M,Other,Belmopan City,Cayo,8/1/2019,Terminated,,,54
22550,M,Creole,BELMOPAN,Cayo,8/19/2019,In Process,1/17/2023,1/17/2023,30
22584,F,Other,BELMOPAN,Cayo,8/17/2020,In Process,1/4/2023,1/4/2023,30
22608,M,Mestizo,BELMOPAN,Cayo,8/1/2019,Terminated,,,66
22618,F,Creole,,BELIZE,8/1/2019,Dropped,,,22
22622,M,Unknown,Belize City,BELIZE,8/1/2020,In Process,,,42
22631,M,Mestizo,,STANN CREEK,8/1/2019,Terminated,,,25
22638,M,Other,BENQUE VIEJO DEL CARMEN,Cayo,8/1/2019,Transferred,,,38
22677,M,Creole,Santa Elena Town,Cayo,8/1/2019,Terminated,,,21
22686,M,Other,BELMOPAN,Cayo,8/15/2022,In Process,,,30
22691,M,Other,BELMOPAN,Cayo,8/19/2019,Terminated,,,72
22702,M,Mestizo,,Cayo,8/1/2019,Terminated,,,27
22704,F,Creole,,Cayo,8/1/2019,In Process,,,54
22722,M,Other,DANGRIGA TOWN,STANN CREEK,8/19/2019,Graduated,12/9/2021,12/9/2021,25
22752,M,Creole,SAN PEDRO TOWN,BELIZE,8/1/2019,Terminated,,,39
22762,M,Unknown,BELMOPAN,Cayo,8/1/2019,Terminated,,,30
22767,M,Creole,BELMOPAN,Cayo,1/1/2021,In Process,,,49
22777,M,Mestizo,,Cayo,8/1/2019,Dropped,,,38
22796,F,Creole,Santa Elena Town,Cayo,8/19/2019,Dropped,,,27
22820,M,Mestizo,Belize City,BELIZE,8/1/2019,In Process,,,63
